end_price,image_urls,img_url,model,model_url,shops,start_price
81041,https://s.ek.ua/jpg/2270100.jpg,https://s.ek.ua/jpg/2270100.jpg,Philips 55OLED807,https://ek.ua/ua/ua/PHILIPS-55OLED807.htm,"PermyCo,Hi-tech.com.ua,Ctrs.com.ua,Tehno-mart.com.ua,Stylus.ua,Pro100market.com.ua,COMFY.ua",47790
81041,https://s.ek.ua/jpg/2270100.jpg,https://s.ek.ua/jpg/2270100.jpg,Philips 55OLED807,https://ek.ua/ua/ua/PHILIPS-55OLED807.htm,"PermyCo,Hi-tech.com.ua,Ctrs.com.ua,Tehno-mart.com.ua,Stylus.ua,Pro100market.com.ua,COMFY.ua",47790
57788,https://s.ek.ua/jpg/2195777.jpg,https://s.ek.ua/jpg/2195777.jpg,Samsung QE-55QN85B,https://ek.ua/ua/ua/SAMSUNG-QE-55QN85B.htm,"Sokol.ua,PermyCo,АЛЛО,Hi-tech.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Eldom.com.ua",30400
57788,https://s.ek.ua/jpg/2195777.jpg,https://s.ek.ua/jpg/2195777.jpg,Samsung QE-55QN85B,https://ek.ua/ua/ua/SAMSUNG-QE-55QN85B.htm,"Sokol.ua,PermyCo,АЛЛО,Hi-tech.com.ua,TEHNOS.UA,Tehno-mart.com.ua,Eldom.com.ua",30400
89999,https://s.ek.ua/jpg/2220493.jpg,https://s.ek.ua/jpg/2220493.jpg,Sony XR-65X90K,https://ek.ua/ua/ua/SONY-XR-65X90K.htm,"Sokol.ua,PermyCo,Hi-tech.com.ua,TEHNOS.UA,Stylus.ua,Moyo.ua,COMFY.ua",41200
89999,https://s.ek.ua/jpg/2220493.jpg,https://s.ek.ua/jpg/2220493.jpg,Sony XR-65X90K,https://ek.ua/ua/ua/SONY-XR-65X90K.htm,"Sokol.ua,PermyCo,Hi-tech.com.ua,TEHNOS.UA,Stylus.ua,Moyo.ua,COMFY.ua",41200
11400,https://s.ek.ua/jpg/2006326.jpg,https://s.ek.ua/jpg/2006326.jpg,LG 32LM6370,https://ek.ua/ua/ua/LG-32LM6370.htm,"Sokol.ua,Hi-tech.com.ua,Tehno-mart.com.ua,Stylus.ua,Lg-ua.com,Palladium.ua,Moyo.ua",7240
11400,https://s.ek.ua/jpg/2006326.jpg,https://s.ek.ua/jpg/2006326.jpg,LG 32LM6370,https://ek.ua/ua/ua/LG-32LM6370.htm,"Sokol.ua,Hi-tech.com.ua,Tehno-mart.com.ua,Stylus.ua,Lg-ua.com,Palladium.ua,Moyo.ua",7240
48732,https://s.ek.ua/jpg/2279735.jpg,https://s.ek.ua/jpg/2279735.jpg,Hisense 55U7HQ,https://ek.ua/ua/ua/HISENSE-55U7HQ.htm,"COMFY.ua,Tv-mir.com.ua,Smartmag.biz.ua,click24.biz,Click24.in.ua,Ok24.in.ua",22572
48732,https://s.ek.ua/jpg/2279735.jpg,https://s.ek.ua/jpg/2279735.jpg,Hisense 55U7HQ,https://ek.ua/ua/ua/HISENSE-55U7HQ.htm,"COMFY.ua,Tv-mir.com.ua,Smartmag.biz.ua,click24.biz,Click24.in.ua,Ok24.in.ua",22572
49615,https://s.ek.ua/jpg/2246610.jpg,https://s.ek.ua/jpg/2246610.jpg,LG 50QNED82 2022,https://ek.ua/ua/ua/LG-50QNED82-2022.htm,"Hi-tech.com.ua,Tomdom.prom.ua,Neolex.com.ua,I-sklad.com.ua,click24.biz,Techno-aks.com,Strongmart.com.ua",21200
49615,https://s.ek.ua/jpg/2246610.jpg,https://s.ek.ua/jpg/2246610.jpg,LG 50QNED82 2022,https://ek.ua/ua/ua/LG-50QNED82-2022.htm,"Hi-tech.com.ua,Tomdom.prom.ua,Neolex.com.ua,I-sklad.com.ua,click24.biz,Techno-aks.com,Strongmart.com.ua",21200
7625,https://s.ek.ua/jpg/2352464.jpg,https://s.ek.ua/jpg/2352464.jpg,Ergo 32GFS6500,https://ek.ua/ua/ua/ERGO-32GFS6500.htm,"Ctrs.com.ua,Tehno-mart.com.ua,Stylus.ua,Pro100market.com.ua,COMFY.ua,Tviy-Dim.com,Denika.ua",6200
7625,https://s.ek.ua/jpg/2352464.jpg,https://s.ek.ua/jpg/2352464.jpg,Ergo 32GFS6500,https://ek.ua/ua/ua/ERGO-32GFS6500.htm,"Ctrs.com.ua,Tehno-mart.com.ua,Stylus.ua,Pro100market.com.ua,COMFY.ua,Tviy-Dim.com,Denika.ua",6200
6699,https://s.ek.ua/jpg/1947634.jpg,https://s.ek.ua/jpg/1947634.jpg,Liberton 32TP1HDTA1,https://ek.ua/ua/ua/LIBERTON-32TP1HDTA1.htm,"Eldom.com.ua,COMFY.ua,Denika.ua,Zhuk.ua,Tehnopostavka.com.ua,COMFY.ua",4799
6699,https://s.ek.ua/jpg/1947634.jpg,https://s.ek.ua/jpg/1947634.jpg,Liberton 32TP1HDTA1,https://ek.ua/ua/ua/LIBERTON-32TP1HDTA1.htm,"Eldom.com.ua,COMFY.ua,Denika.ua,Zhuk.ua,Tehnopostavka.com.ua,COMFY.ua",4799
